timestamp,can_id,signal,value,label
1769455143.338613,0x102,throttle,0.0,spoofing
1769455143.338613,0x103,brake,0.0,spoofing
1769455143.4318838,0x100,speed,0.417,spoofing
1769455143.4318838,0x101,steering,0.9,spoofing
1769455143.4318838,0x102,throttle,0.0,spoofing
1769455143.4318838,0x103,brake,0.0,spoofing
1769455143.5994356,0x100,speed,0.333,spoofing
1769455143.5994356,0x101,steering,0.9,spoofing
1769455143.5994356,0x102,throttle,0.0,spoofing
1769455143.5994356,0x103,brake,0.0,spoofing
1769455143.6713777,0x100,speed,0.263,spoofing
1769455143.6713777,0x101,steering,0.9,spoofing
1769455143.6713777,0x102,throttle,0.0,spoofing
1769455143.6713777,0x103,brake,0.0,spoofing
1769455143.7283456,0x100,speed,0.206,spoofing
